,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
242,MRVL,"Marvell Technology, Inc. Common Stock",$60.95,2.58,4.42%,"52,788,795,000"
243,PSA,Public Storage Common Stock,$300.00,-0.43,-0.143%,"52,624,659,000"
244,FCX,"Freeport-McMoRan, Inc. Common Stock",$36.41,0.38,1.055%,"52,323,828,148"
245,ALL,Allstate Corporation (The) Common Stock,$197.24,-1.15,-0.58%,"52,273,737,708"
246,MPLX,MPLX LP Common Units Representing Limited Partner Interests,$50.86,-0.07,-0.137%,"52,004,847,462"
247,TRP,TC Energy Corporation Common Stock,$50.01,-0.40,-0.793%,"51,976,408,903"
248,SPG,"Simon Property Group, Inc. Common Stock",$158.87,1.49,0.947%,"51,835,807,784"
249,MET,"MetLife, Inc. Common Stock",$75.77,0.40,0.531%,"51,616,647,682"
250,LNG,"Cheniere Energy, Inc. Common Stock",$230.49,-0.62,-0.268%,"51,552,653,258"
251,NWG,"NatWest Group plc American Depositary Shares, (each representing two (2) Ordinary Shares)",$12.77,-0.15,-1.161%,"51,427,441,588"
252,DB,Deutsche Bank AG Common Stock,$26.40,0.19,0.725%,"51,351,319,932"
253,COIN,"Coinbase Global, Inc. Class A Common Stock",$201.30,-1.59,-0.784%,"51,105,936,707"
254,O,Realty Income Corporation Common Stock,$57.17,-0.69,-1.193%,"50,967,978,924"
255,GWW,"W.W. Grainger, Inc. Common Stock","$1,053.43",29.12,2.843%,"50,792,926,708"
256,WCN,"Waste Connections, Inc. Common Shares",$196.18,-1.45,-0.734%,"50,621,781,252"
257,OKE,"ONEOK, Inc. Common Stock",$80.93,-1.23,-1.497%,"50,527,802,857"
258,TFC,Truist Financial Corporation Common Stock,$38.59,0.25,0.652%,"50,373,483,745"
259,FDX,FedEx Corporation Common Stock,$210.06,-0.27,-0.128%,"50,330,148,925"
260,NSC,Norfolk Southern Corporation Common Stock,$221.77,-2.28,-1.018%,"49,996,605,217"
261,PCG,Pacific Gas & Electric Co. Common Stock,$16.67,0.15,0.908%,"49,006,522,878"
262,FICO,Fair Isaac Corporation Common Stock,"$2,001.68",12.00,0.603%,"48,724,274,039"
263,BDX,"Becton, Dickinson and Company Common Stock",$169.54,-37.55,-18.132%,"48,680,939,276"
264,HMC,"Honda Motor Company, Ltd. Common Stock",$30.33,-0.18,-0.59%,"48,436,572,186"
265,ARES,Ares Management Corporation Class A Common Stock,$152.27,-0.26,-0.17%,"48,027,420,706"
266,AIG,"American International Group, Inc. New Common Stock",$80.84,-0.68,-0.834%,"47,965,036,810"
267,JD,"JD.com, Inc. American Depositary Shares",$32.85,0.23,0.705%,"47,740,723,438"
268,PWR,"Quanta Services, Inc. Common Stock",$321.93,29.24,9.99%,"47,709,485,480"
269,KR,Kroger Company (The) Common Stock,$72.18,-0.03,-0.042%,"47,703,291,026"
270,AXON,"Axon Enterprise, Inc. Common Stock",$621.10,7.80,1.272%,"47,590,710,513"
271,ALC,Alcon Inc. Ordinary Shares,$96.17,-1.44,-1.475%,"47,567,251,879"
272,E,ENI S.p.A. Common Stock,$28.74,0.33,1.162%,"47,198,128,859"
273,TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$15.03,-0.26,-1.70%,"47,164,544,728"
274,PCAR,PACCAR Inc. Common Stock,$89.78,-0.43,-0.477%,"47,116,777,697"
275,EXC,Exelon Corporation Common Stock,$46.60,-0.30,-0.64%,"46,843,119,516"
