,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
198,DELL,834130464.0,79746000000.0,6336000000.0,10298000000.0,3633000000.0,24567000000.0,20832000000.0,-1482000000.0,-1160000000.0,-10298000000.0,23931000000.0,2307000000.0,3238000000.0,1654000000.0,-735000000.0,-150000000.0
199,CNM,189815899.0,5870000000.0,412000000.0,986000000.0,8000000.0,2506000000.0,562000000.0,1698000000.0,449000000.0,1159000000.0,1698000000.0,124000000.0,174000000.0,64000000.0,-11000000.0,224000000.0
200,TRP,1040000000.0,120545000000.0,80468000000.0,2586000000.0,1962000000.0,61992000000.0,4489000000.0,27693000000.0,-5147000000.0,-3052000000.0,3623000000.0,1661000000.0,2738000000.0,1006000000.0,-1564000000.0,-205000000.0
201,SLQT,172126000.0,1279167000.0,38259000.0,115795000.0,12104000.0,740381000.0,87165000.0,326002000.0,-261079000.0,177972000.0,481069000.0,70940000.0,68337000.0,53236000.0,-2272000.0,-30966000.0
202,HURN,20901686.0,1363566000.0,38853000.0,200934000.0,23378000.0,614979000.0,19754000.0,494284000.0,556189000.0,228481000.0,404141000.0,34070000.0,41019000.0,24536000.0,-8529000.0,-115356000.0
203,CURV,104859266.0,488441000.0,218320000.0,,48523000.0,466627000.0,72378000.0,-191089000.0,-331269000.0,-36966000.0,275562000.0,3450000.0,22644000.0,-2988000.0,-1775000.0,10249000.0
204,HNNA,7780319.0,153298000.0,1361000.0,3335000.0,64979000.0,40504000.0,,93394000.0,70483000.0,65693000.0,9708000.0,3830000.0,4600000.0,2834000.0,-117000.0,2117000.0
205,UBFO,17364894.0,1211718000.0,11737000.0,8104000.0,56211000.0,14733000.0,,130362000.0,83447000.0,,11961000.0,,,2496000.0,-196000.0,4317000.0
206,COCH,21326619.0,10385000.0,2073000.0,42000.0,5312000.0,24029000.0,1662000.0,-24224000.0,-290970000.0,717000.0,46000.0,-5107000.0,-4442000.0,-4998000.0,-6000.0,-3731000.0
207,FGEN,100770153.0,214525000.0,0.0,481000.0,50482000.0,73092000.0,5064000.0,-225602000.0,-1889499000.0,63203000.0,-123256000.0,-90756000.0,-91100000.0,17982000.0,-141000.0,-30607000.0
208,NAVI,467000000.0,50950000000.0,34000000.0,1700000000.0,642000000.0,47237000000.0,,2589000000.0,4677000000.0,,156000000.0,,,-2000000.0,,71000000.0
209,IMNN,14500685.0,9717364.0,1658405.0,,5872767.0,1139293.0,1300026.0,4244298.0,-406803044.0,3222828.0,0.0,-4146182.0,-3891939.0,-4057225.0,-14907.0,-4435891.0
210,AIRTP,3030245.0,187623000.0,49410000.0,24583000.0,18458000.0,142002000.0,10231000.0,5114000.0,9158000.0,42786000.0,77880000.0,1816000.0,2994000.0,-1297000.0,-351000.0,15982000.0
211,DTI,35592737.0,222431000.0,98290000.0,39606000.0,6185000.0,76699000.0,11983000.0,119959000.0,-3582000.0,37113000.0,39846000.0,1812000.0,6149000.0,-1345000.0,-3226000.0,-6891000.0
